
GroupID(X),GroupID(Y),GroupID(Z),GroupThreadID(X),GroupThreadID(Y),GroupThreadID(Z),DispatchThreadID(X),DispatchThreadID(Y),DispatchThreadID(Z),GroupIndex,Value
0,0,0,	0,0,0,	0,0,0,	0,0.000000
0,0,0,	1,0,0,	1,0,0,	1,0.000000
0,0,0,	2,0,0,	2,0,0,	2,16.000000
0,0,0,	3,0,0,	3,0,0,	3,9984.000000
0,0,0,	4,0,0,	4,0,0,	4,512.000000
0,0,0,	5,0,0,	5,0,0,	5,9472.000000
0,0,0,	6,0,0,	6,0,0,	6,9232.000000
0,0,0,	7,0,0,	7,0,0,	7,8704.000000
0,0,0,	8,0,0,	8,0,0,	8,8464.000000
0,0,0,	9,0,0,	9,0,0,	9,1808.000000
0,0,0,	0,1,0,	0,1,0,	10,1536.000000
0,0,0,	1,1,0,	1,1,0,	11,9488.000000
0,0,0,	2,1,0,	2,1,0,	12,528.000000
0,0,0,	3,1,0,	3,1,0,	13,272.000000
0,0,0,	4,1,0,	4,1,0,	14,9728.000000
0,0,0,	5,1,0,	5,1,0,	15,256.000000
0,0,0,	6,1,0,	6,1,0,	16,784.000000
0,0,0,	7,1,0,	7,1,0,	17,9728.000000
0,0,0,	8,1,0,	8,1,0,	18,528.000000
0,0,0,	9,1,0,	9,1,0,	19,1296.000000
0,0,0,	0,2,0,	0,2,0,	20,9728.000000
0,0,0,	1,2,0,	1,2,0,	21,8448.000000
0,0,0,	2,2,0,	2,2,0,	22,1808.000000
0,0,0,	3,2,0,	3,2,0,	23,16.000000
0,0,0,	4,2,0,	4,2,0,	24,256.000000
0,0,0,	5,2,0,	5,2,0,	25,8208.000000
0,0,0,	6,2,0,	6,2,0,	26,1024.000000
0,0,0,	7,2,0,	7,2,0,	27,272.000000
0,0,0,	8,2,0,	8,2,0,	28,1280.000000
0,0,0,	9,2,0,	9,2,0,	29,1296.000000
0,0,0,	0,3,0,	0,3,0,	30,1280.000000
0,0,0,	1,3,0,	1,3,0,	31,1040.000000
0,0,0,	2,3,0,	2,3,0,	32,8464.000000
0,0,0,	3,3,0,	3,3,0,	33,9488.000000
0,0,0,	4,3,0,	4,3,0,	34,1792.000000
0,0,0,	5,3,0,	5,3,0,	35,1280.000000
0,0,0,	6,3,0,	6,3,0,	36,9216.000000
0,0,0,	7,3,0,	7,3,0,	37,9744.000000
0,0,0,	8,3,0,	8,3,0,	38,512.000000
0,0,0,	9,3,0,	9,3,0,	39,9728.000000
0,0,0,	0,4,0,	0,4,0,	40,8208.000000
0,0,0,	1,4,0,	1,4,0,	41,1280.000000
0,0,0,	2,4,0,	2,4,0,	42,8720.000000
0,0,0,	3,4,0,	3,4,0,	43,9744.000000
0,0,0,	4,4,0,	4,4,0,	44,1280.000000
0,0,0,	5,4,0,	5,4,0,	45,528.000000
0,0,0,	6,4,0,	6,4,0,	46,8960.000000
0,0,0,	7,4,0,	7,4,0,	47,1552.000000
0,0,0,	8,4,0,	8,4,0,	48,9744.000000
0,0,0,	9,4,0,	9,4,0,	49,528.000000
0,0,0,	0,5,0,	0,5,0,	50,8960.000000
0,0,0,	1,5,0,	1,5,0,	51,8976.000000
0,0,0,	2,5,0,	2,5,0,	52,10000.000000
0,0,0,	3,5,0,	3,5,0,	53,10000.000000
0,0,0,	4,5,0,	4,5,0,	54,1536.000000
0,0,0,	5,5,0,	5,5,0,	55,8720.000000
0,0,0,	6,5,0,	6,5,0,	56,8720.000000
0,0,0,	7,5,0,	7,5,0,	57,9728.000000
0,0,0,	8,5,0,	8,5,0,	58,8960.000000
0,0,0,	9,5,0,	9,5,0,	59,768.000000
0,0,0,	0,6,0,	0,6,0,	60,8208.000000
0,0,0,	1,6,0,	1,6,0,	61,784.000000
0,0,0,	2,6,0,	2,6,0,	62,1536.000000
0,0,0,	3,6,0,	3,6,0,	63,1808.000000
0,0,0,	4,6,0,	4,6,0,	64,256.000000
0,0,0,	5,6,0,	5,6,0,	65,9488.000000
0,0,0,	6,6,0,	6,6,0,	66,8976.000000
0,0,0,	7,6,0,	7,6,0,	67,8704.000000
0,0,0,	8,6,0,	8,6,0,	68,768.000000
0,0,0,	9,6,0,	9,6,0,	69,16.000000
0,0,0,	0,7,0,	0,7,0,	70,8976.000000
0,0,0,	1,7,0,	1,7,0,	71,1040.000000
0,0,0,	2,7,0,	2,7,0,	72,9744.000000
0,0,0,	3,7,0,	3,7,0,	73,512.000000
0,0,0,	4,7,0,	4,7,0,	74,1808.000000
0,0,0,	5,7,0,	5,7,0,	75,8976.000000
0,0,0,	6,7,0,	6,7,0,	76,8720.000000
0,0,0,	7,7,0,	7,7,0,	77,8464.000000
0,0,0,	8,7,0,	8,7,0,	78,1792.000000
0,0,0,	9,7,0,	9,7,0,	79,1296.000000
0,0,0,	0,0,1,	0,0,1,	80,1024.000000
0,0,0,	1,0,1,	1,0,1,	81,8448.000000
0,0,0,	2,0,1,	2,0,1,	82,1552.000000
0,0,0,	3,0,1,	3,0,1,	83,1296.000000
